Deputy_ID,Deputy_Name,Constituency,Parliamentary_Group,URL,Committee_Name,Committee_URL,Role
1,Adomnicãi Mirela Elena,35 / SUCEAVA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=1,"Comisia pentru drepturile omului, culte şi problemele minorităţilor naţionale",http://www.cdep.ro/pls/parlam/structura2015.co?idc=5&cam=2&leg=2024&idl=1,
1,Adomnicãi Mirela Elena,35 / SUCEAVA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=1,Comisia pentru muncă şi protecţie socială,http://www.cdep.ro/pls/parlam/structura2015.co?idc=7&cam=2&leg=2024&idl=1,Secretar
1,Adomnicãi Mirela Elena,35 / SUCEAVA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=1,Comisia pentru constituționalitate,http://www.cdep.ro/pls/parlam/structura2015.co?idc=71&cam=2&leg=2024&idl=1,
2,Afloarei Sorin-Alexandru,24 / IAȘI,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=2,Comisia pentru tehnologia informaţiei şi comunicaţiilor,http://www.cdep.ro/pls/parlam/structura2015.co?idc=19&cam=2&leg=2024&idl=1,
3,Albu Dumitrița,43 / DIASPORA,POT,https://cdep.ro/pls/parlam/structura2015.mp?idm=3,Comisia pentru comunităţile de români din afara graniţelor ţării,http://www.cdep.ro/pls/parlam/structura2015.co?idc=32&cam=2&leg=2024&idl=1,Secretar
4,Alecsandru Marius-Nicolae,10 / BUZÃU,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=4,Comisia pentru industrii şi servicii,http://www.cdep.ro/pls/parlam/structura2015.co?idc=3&cam=2&leg=2024&idl=1,
5,Alecu Robert,4 / BACÃU,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=5,Comisia pentru comunităţile de români din afara graniţelor ţării,http://www.cdep.ro/pls/parlam/structura2015.co?idc=32&cam=2&leg=2024&idl=1,Secretar
5,Alecu Robert,4 / BACÃU,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=5,Comisia pentru știință și tehnologie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=72&cam=2&leg=2024&idl=1,
6,Amet Varol,,Minoritati,https://cdep.ro/pls/parlam/structura2015.mp?idm=6,Comisia pentru transporturi şi infrastructură,http://www.cdep.ro/pls/parlam/structura2015.co?idc=34&cam=2&leg=2024&idl=1,
6,Amet Varol,,Minoritati,https://cdep.ro/pls/parlam/structura2015.mp?idm=6,Comisia pentru știință și tehnologie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=72&cam=2&leg=2024&idl=1,Secretar
7,Andrei Alexandru-Ioan,19 / GIURGIU,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=7,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,
7,Andrei Alexandru-Ioan,19 / GIURGIU,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=7,Comisia pentru transporturi şi infrastructură,http://www.cdep.ro/pls/parlam/structura2015.co?idc=34&cam=2&leg=2024&idl=1,
7,Andrei Alexandru-Ioan,19 / GIURGIU,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=7,Comisia pentru mediu şi echilibru ecologic,http://www.cdep.ro/pls/parlam/structura2015.co?idc=46&cam=2&leg=2024&idl=1,Vicepreşedinte
8,Andrei Cosmin,38 / TULCEA,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=8,Comisia pentru învăţământ,http://www.cdep.ro/pls/parlam/structura2015.co?idc=9&cam=2&leg=2024&idl=1,
9,Andronache Gabriel,8 / BRAȘOV,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=9,"Comisia juridică, de disciplină şi imunităţi",http://www.cdep.ro/pls/parlam/structura2015.co?idc=11&cam=2&leg=2024&idl=1,
9,Andronache Gabriel,8 / BRAȘOV,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=9,Comisia pentru regulament,http://www.cdep.ro/pls/parlam/structura2015.co?idc=23&cam=2&leg=2024&idl=1,Secretar
10,Andrușcã Lucian-Nicolae,16 / DÂMBOVIȚA,POT,https://cdep.ro/pls/parlam/structura2015.mp?idm=10,"Comisia pentru cercetarea abuzurilor, corupţiei şi pentru petiţii",http://www.cdep.ro/pls/parlam/structura2015.co?idc=14&cam=2&leg=2024&idl=1,Vicepreşedinte
10,Andrușcã Lucian-Nicolae,16 / DÂMBOVIȚA,POT,https://cdep.ro/pls/parlam/structura2015.mp?idm=10,Comisia pentru tehnologia informaţiei şi comunicaţiilor,http://www.cdep.ro/pls/parlam/structura2015.co?idc=19&cam=2&leg=2024&idl=1,
11,Artimon Dan-Cãtãlin,2 / ARAD,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=11,"Comisia pentru cultură, arte, mijloace de informare în masă",http://www.cdep.ro/pls/parlam/structura2015.co?idc=10&cam=2&leg=2024&idl=1,
