Senator Name,Senator URL,Senator ID,Birth Date,Constituency,Parliamentary Group,Committee Name,Committee URL
ABRUDEAN Mircea,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7ff0cd22-7bbb-4ca8-ada1-0473697459bd,7ff0cd22-7bbb-4ca8-ada1-0473697459bd,23.07.1984,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru energie, infrastructură energetică și resurse minerale",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=fce2aea4-104c-4495-a3c1-41a9bd7e5f37
ABRUDEAN Mircea,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7ff0cd22-7bbb-4ca8-ada1-0473697459bd,7ff0cd22-7bbb-4ca8-ada1-0473697459bd,23.07.1984,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru drepturile omului, egalitate de șanse, culte și minorități",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=1d044a32-1bad-4adf-925e-0abab63af58a
ABRUDEAN Mircea,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=7ff0cd22-7bbb-4ca8-ada1-0473697459bd,7ff0cd22-7bbb-4ca8-ada1-0473697459bd,23.07.1984,,Grupul parlamentar al Partidului Național Liberal,Comisia pentru românii de pretutindeni,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=a3ba8a6b-8b59-47b1-8932-0d30b5f7add1
ALDEA Mariana-Vali,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=aaa971e5-5110-4c5f-98f5-07c6ee365a1e,aaa971e5-5110-4c5f-98f5-07c6ee365a1e,01.09.1987,,Grupul parlamentar al Partidului Oamenilor Tineri,"Comisia pentru cercetarea abuzurilor, combaterea corupției și petiții",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=f8ec429d-75f4-4b5b-a199-1eaa5eeace09
ALDEA Mariana-Vali,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=aaa971e5-5110-4c5f-98f5-07c6ee365a1e,aaa971e5-5110-4c5f-98f5-07c6ee365a1e,01.09.1987,,Grupul parlamentar al Partidului Oamenilor Tineri,Comisia pentru tineret și sport,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=2bd4bd40-5994-40a8-81b7-fcef2df3acfc
ALEXANDRU Victoria-Violeta,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=4d812c2c-fa19-4834-b1f1-08fedc72161d,4d812c2c-fa19-4834-b1f1-08fedc72161d,11.11.1975,,Grupul parlamentar al Uniunii Salvați România,"Comisia economică, industrii, servicii, turism și antreprenoriat",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=3c24f5c4-46d1-4dcd-b035-49c8c90a40a3
ALEXANDRU Victoria-Violeta,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=4d812c2c-fa19-4834-b1f1-08fedc72161d,4d812c2c-fa19-4834-b1f1-08fedc72161d,11.11.1975,,Grupul parlamentar al Uniunii Salvați România,"Comisia pentru muncă, familie și protecție socială",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7cae207a-3ae5-4cf6-8568-eb3bf69a9b88
ANGHEL Razvan-Paul,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e4673fd9-34fd-4b0d-8019-092771f2537e,e4673fd9-34fd-4b0d-8019-092771f2537e,15.11.1972,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru constituționalitate,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=75fd4832-f4ba-4690-9f6d-5959b0b950fa
ANGHEL Razvan-Paul,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e4673fd9-34fd-4b0d-8019-092771f2537e,e4673fd9-34fd-4b0d-8019-092771f2537e,15.11.1972,,Grupul parlamentar al Uniunii Salvați România,Comisia pentru sănătate,https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=7f7c09a7-7ae7-4e99-9018-a9c5774ef858
ANGHEL Razvan-Paul,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=e4673fd9-34fd-4b0d-8019-092771f2537e,e4673fd9-34fd-4b0d-8019-092771f2537e,15.11.1972,,Grupul parlamentar al Uniunii Salvați România,"Comisia pentru comunicații, tehnologia informației și inteligență artificială",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=ef36e8b3-2fb2-43e8-bd6d-1ad040db24b3
ANISIE Monica-Cristina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=dad3c5ee-3157-410a-85ff-094a63524104,dad3c5ee-3157-410a-85ff-094a63524104,19.07.1973,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru învățământ, știință și inovare",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=b6d9d5f8-bf64-44c3-bdbf-12fe7567ba82
ANISIE Monica-Cristina,https://www.senat.ro/FisaSenator.aspx?ParlamentarID=dad3c5ee-3157-410a-85ff-094a63524104,dad3c5ee-3157-410a-85ff-094a63524104,19.07.1973,,Grupul parlamentar al Partidului Național Liberal,"Comisia pentru drepturile omului, egalitate de șanse, culte și minorități",https://www.senat.ro/ComponentaComisii.aspx?Zi=&ComisieID=1d044a32-1bad-4adf-925e-0abab63af58a
